# E = 0.5
# x, V(x), psi, |psi|^2
3.520000e+00 6.195200e+00 5.015317e-01 5.000023e-01
3.530000e+00 6.230450e+00 5.014786e-01 5.000022e-01
3.540000e+00 6.265800e+00 5.014273e-01 5.000020e-01
3.550000e+00 6.301250e+00 5.013776e-01 5.000019e-01
3.560000e+00 6.336800e+00 5.013295e-01 5.000018e-01
3.570000e+00 6.372450e+00 5.012829e-01 5.000016e-01
3.580000e+00 6.408200e+00 5.012379e-01 5.000015e-01
3.590000e+00 6.444050e+00 5.011943e-01 5.000014e-01
3.600000e+00 6.480000e+00 5.011521e-01 5.000013e-01
3.610000e+00 6.516050e+00 5.011113e-01 5.000012e-01
3.620000e+00 6.552200e+00 5.010718e-01 5.000011e-01
3.630000e+00 6.588450e+00 5.010337e-01 5.000011e-01
3.640000e+00 6.624800e+00 5.009968e-01 5.000010e-01
3.650000e+00 6.661250e+00 5.009611e-01 5.000009e-01
3.660000e+00 6.697800e+00 5.009266e-01 5.000009e-01
3.670000e+00 6.734450e+00 5.008933e-01 5.000008e-01
3.680000e+00 6.771200e+00 5.008610e-01 5.000007e-01
3.690000e+00 6.808050e+00 5.008299e-01 5.000007e-01
3.700000e+00 6.845000e+00 5.007998e-01 5.000006e-01
3.710000e+00 6.882050e+00 5.007707e-01 5.000006e-01
3.720000e+00 6.919200e+00 5.007426e-01 5.000006e-01
3.730000e+00 6.956450e+00 5.007154e-01 5.000005e-01
3.740000e+00 6.993800e+00 5.006892e-01 5.000005e-01
3.750000e+00 7.031250e+00 5.006639e-01 5.000004e-01
3.760000e+00 7.068800e+00 5.006394e-01 5.000004e-01
3.770000e+00 7.106450e+00 5.006158e-01 5.000004e-01
3.780000e+00 7.144200e+00 5.005930e-01 5.000004e-01
3.790000e+00 7.182050e+00 5.005709e-01 5.000003e-01
3.800000e+00 7.220000e+00 5.005497e-01 5.000003e-01
3.810000e+00 7.258050e+00 5.005292e-01 5.000003e-01
3.820000e+00 7.296200e+00 5.005094e-01 5.000003e-01
3.830000e+00 7.334450e+00 5.004902e-01 5.000002e-01
3.840000e+00 7.372800e+00 5.004718e-01 5.000002e-01
3.850000e+00 7.411250e+00 5.004540e-01 5.000002e-01
3.860000e+00 7.449800e+00 5.004368e-01 5.000002e-01
3.870000e+00 7.488450e+00 5.004203e-01 5.000002e-01
3.880000e+00 7.527200e+00 5.004043e-01 5.000002e-01
3.890000e+00 7.566050e+00 5.003889e-01 5.000002e-01
3.900000e+00 7.605000e+00 5.003740e-01 5.000001e-01
3.910000e+00 7.644050e+00 5.003597e-01 5.000001e-01
3.920000e+00 7.683200e+00 5.003459e-01 5.000001e-01
3.930000e+00 7.722450e+00 5.003326e-01 5.000001e-01
3.940000e+00 7.761800e+00 5.003198e-01 5.000001e-01
3.950000e+00 7.801250e+00 5.003074e-01 5.000001e-01
3.960000e+00 7.840800e+00 5.002955e-01 5.000001e-01
3.970000e+00 7.880450e+00 5.002840e-01 5.000001e-01
3.980000e+00 7.920200e+00 5.002729e-01 5.000001e-01
3.990000e+00 7.960050e+00 5.002623e-01 5.000001e-01
4.000000e+00 8.000000e+00 5.002520e-01 5.000001e-01
4.010000e+00 8.040050e+00 5.002421e-01 5.000001e-01
4.020000e+00 8.080200e+00 5.002326e-01 5.000001e-01
4.030000e+00 8.120450e+00 5.002234e-01 5.000000e-01
4.040000e+00 8.160800e+00 5.002146e-01 5.000000e-01
4.050000e+00 8.201250e+00 5.002061e-01 5.000000e-01
4.060000e+00 8.241800e+00 5.001979e-01 5.000000e-01
4.070000e+00 8.282450e+00 5.001900e-01 5.000000e-01
4.080000e+00 8.323200e+00 5.001824e-01 5.000000e-01
4.090000e+00 8.364050e+00 5.001751e-01 5.000000e-01
4.100000e+00 8.405000e+00 5.001681e-01 5.000000e-01
4.110000e+00 8.446050e+00 5.001613e-01 5.000000e-01
4.120000e+00 8.487200e+00 5.001548e-01 5.000000e-01
4.130000e+00 8.528450e+00 5.001486e-01 5.000000e-01
4.140000e+00 8.569800e+00 5.001426e-01 5.000000e-01
4.150000e+00 8.611250e+00 5.001368e-01 5.000000e-01
4.160000e+00 8.652800e+00 5.001312e-01 5.000000e-01
4.170000e+00 8.694450e+00 5.001259e-01 5.000000e-01
4.180000e+00 8.736200e+00 5.001207e-01 5.000000e-01
4.190000e+00 8.778050e+00 5.001158e-01 5.000000e-01
4.200000e+00 8.820000e+00 5.001110e-01 5.000000e-01
4.210000e+00 8.862050e+00 5.001065e-01 5.000000e-01
4.220000e+00 8.904200e+00 5.001021e-01 5.000000e-01
4.230000e+00 8.946450e+00 5.000979e-01 5.000000e-01
4.240000e+00 8.988800e+00 5.000938e-01 5.000000e-01
4.250000e+00 9.031250e+00 5.000899e-01 5.000000e-01
4.260000e+00 9.073800e+00 5.000862e-01 5.000000e-01
4.270000e+00 9.116450e+00 5.000826e-01 5.000000e-01
4.280000e+00 9.159200e+00 5.000791e-01 5.000000e-01
4.290000e+00 9.202050e+00 5.000758e-01 5.000000e-01
4.300000e+00 9.245000e+00 5.000726e-01 5.000000e-01
4.310000e+00 9.288050e+00 5.000696e-01 5.000000e-01
4.320000e+00 9.331200e+00 5.000667e-01 5.000000e-01
4.330000e+00 9.374450e+00 5.000638e-01 5.000000e-01
4.340000e+00 9.417800e+00 5.000611e-01 5.000000e-01
4.350000e+00 9.461250e+00 5.000585e-01 5.000000e-01
4.360000e+00 9.504800e+00 5.000561e-01 5.000000e-01
4.370000e+00 9.548450e+00 5.000537e-01 5.000000e-01
4.380000e+00 9.592200e+00 5.000514e-01 5.000000e-01
4.390000e+00 9.636050e+00 5.000492e-01 5.000000e-01
4.400000e+00 9.680000e+00 5.000471e-01 5.000000e-01
4.410000e+00 9.724050e+00 5.000451e-01 5.000000e-01
4.420000e+00 9.768200e+00 5.000431e-01 5.000000e-01
4.430000e+00 9.812450e+00 5.000413e-01 5.000000e-01
4.440000e+00 9.856800e+00 5.000395e-01 5.000000e-01
4.450000e+00 9.901250e+00 5.000378e-01 5.000000e-01
4.460000e+00 9.945800e+00 5.000362e-01 5.000000e-01
4.470000e+00 9.990450e+00 5.000346e-01 5.000000e-01
4.480000e+00 1.003520e+01 5.000331e-01 5.000000e-01
4.490000e+00 1.008005e+01 5.000317e-01 5.000000e-01
4.500000e+00 1.012500e+01 5.000303e-01 5.000000e-01
4.510000e+00 1.017005e+01 5.000290e-01 5.000000e-01
4.520000e+00 1.021520e+01 5.000277e-01 5.000000e-01
4.530000e+00 1.026045e+01 5.000265e-01 5.000000e-01
4.540000e+00 1.030580e+01 5.000253e-01 5.000000e-01
4.550000e+00 1.035125e+01 5.000242e-01 5.000000e-01
4.560000e+00 1.039680e+01 5.000232e-01 5.000000e-01
4.570000e+00 1.044245e+01 5.000222e-01 5.000000e-01
4.580000e+00 1.048820e+01 5.000212e-01 5.000000e-01
4.590000e+00 1.053405e+01 5.000203e-01 5.000000e-01
4.600000e+00 1.058000e+01 5.000194e-01 5.000000e-01
4.610000e+00 1.062605e+01 5.000185e-01 5.000000e-01
4.620000e+00 1.067220e+01 5.000177e-01 5.000000e-01
4.630000e+00 1.071845e+01 5.000170e-01 5.000000e-01
4.640000e+00 1.076480e+01 5.000162e-01 5.000000e-01
4.650000e+00 1.081125e+01 5.000155e-01 5.000000e-01
4.660000e+00 1.085780e+01 5.000149e-01 5.000000e-01
4.670000e+00 1.090445e+01 5.000142e-01 5.000000e-01
4.680000e+00 1.095120e+01 5.000136e-01 5.000000e-01
4.690000e+00 1.099805e+01 5.000130e-01 5.000000e-01
4.700000e+00 1.104500e+01 5.000125e-01 5.000000e-01
4.710000e+00 1.109205e+01 5.000119e-01 5.000000e-01
4.720000e+00 1.113920e+01 5.000114e-01 5.000000e-01
4.730000e+00 1.118645e+01 5.000109e-01 5.000000e-01
4.740000e+00 1.123380e+01 5.000105e-01 5.000000e-01
4.750000e+00 1.128125e+01 5.000101e-01 5.000000e-01
4.760000e+00 1.132880e+01 5.000096e-01 5.000000e-01
4.770000e+00 1.137645e+01 5.000092e-01 5.000000e-01
4.780000e+00 1.142420e+01 5.000089e-01 5.000000e-01
4.790000e+00 1.147205e+01 5.000085e-01 5.000000e-01
4.800000e+00 1.152000e+01 5.000082e-01 5.000000e-01
4.810000e+00 1.156805e+01 5.000079e-01 5.000000e-01
4.820000e+00 1.161620e+01 5.000076e-01 5.000000e-01
4.830000e+00 1.166445e+01 5.000073e-01 5.000000e-01
4.840000e+00 1.171280e+01 5.000070e-01 5.000000e-01
4.850000e+00 1.176125e+01 5.000068e-01 5.000000e-01
4.860000e+00 1.180980e+01 5.000065e-01 5.000000e-01
4.870000e+00 1.185845e+01 5.000063e-01 5.000000e-01
4.880000e+00 1.190720e+01 5.000061e-01 5.000000e-01
4.890000e+00 1.195605e+01 5.000059e-01 5.000000e-01
4.900000e+00 1.200500e+01 5.000058e-01 5.000000e-01
4.910000e+00 1.205405e+01 5.000056e-01 5.000000e-01
4.920000e+00 1.210320e+01 5.000054e-01 5.000000e-01
4.930000e+00 1.215245e+01 5.000053e-01 5.000000e-01
4.940000e+00 1.220180e+01 5.000052e-01 5.000000e-01
4.950000e+00 1.225125e+01 5.000051e-01 5.000000e-01
4.960000e+00 1.230080e+01 5.000050e-01 5.000000e-01
4.970000e+00 1.235045e+01 5.000049e-01 5.000000e-01
4.980000e+00 1.240020e+01 5.000048e-01 5.000000e-01
4.990000e+00 1.245005e+01 5.000047e-01 5.000000e-01
5.000000e+00 1.250000e+01 5.000047e-01 5.000000e-01
